iter	Passed	Remaining
630	3860	2257
631	3864	2250
632	3869	2243
633	3875	2237
634	3880	2230
635	3885	2223
636	3889	2216
637	3894	2209
638	3899	2202
639	3904	2196
640	3909	2189
641	3913	2182
642	3918	2175
643	3923	2168
644	3928	2162
645	3933	2155
646	3937	2148
647	3944	2142
648	3951	2136
649	3955	2130
650	3960	2123
651	3965	2116
652	3970	2109
653	3975	2103
654	3986	2099
655	3991	2092
656	3996	2086
657	4001	2079
658	4007	2073
659	4028	2075
660	4033	2068
661	4038	2062
662	4043	2055
663	4048	2048
664	4054	2042
665	4058	2035
666	4062	2028
667	4067	2021
668	4072	2014
669	4076	2007
670	4080	2000
671	4086	1994
672	4091	1987
673	4096	1981
674	4101	1974
675	4105	1967
676	4109	1960
677	4114	1954
678	4119	1947
679	4123	1940
680	4128	1933
681	4132	1927
682	4137	1920
683	4141	1913
684	4156	1911
685	4163	1905
686	4167	1898
687	4172	1892
688	4177	1885
689	4183	1879
690	4187	1872
691	4194	1866
692	4199	1860
693	4203	1853
694	4209	1847
695	4213	1840
696	4218	1833
697	4223	1827
698	4228	1820
699	4232	1813
700	4237	1807
701	4243	1801
702	4248	1794
703	4256	1789
704	4260	1782
705	4264	1775
706	4270	1769
707	4284	1766
708	4289	1760
709	4294	1753
710	4298	1747
711	4303	1740
712	4308	1734
713	4313	1727
714	4317	1721
715	4322	1714
716	4327	1707
717	4333	1702
718	4338	1695
719	4342	1688
720	4347	1682
721	4352	1675
722	4356	1669
723	4361	1662
724	4366	1656
725	4371	1649
726	4375	1643
727	4380	1636
728	4384	1629
729	4389	1623
730	4395	1617
731	4399	1610
732	4404	1604
733	4423	1602
734	4428	1596
735	4433	1590
736	4438	1583
737	4442	1577
738	4447	1570
739	4452	1564
740	4456	1557
741	4461	1551
742	4468	1545
743	4472	1539
744	4477	1532
745	4482	1526
746	4487	1519
747	4492	1513
748	4497	1507
749	4506	1502
750	4511	1495
751	4515	1489
752	4520	1482
753	4526	1476
754	4537	1472
755	4541	1465
756	4546	1459
757	4550	1452
758	4555	1446
759	4561	1440
760	4568	1434
761	4573	1428
762	4578	1422
763	4582	1415
764	4587	1409
765	4592	1402
766	4596	1396
767	4601	1389
768	4606	1383
769	4612	1377
770	4617	1371
771	4622	1365
772	4633	1360
773	4639	1354
774	4644	1348
775	4649	1342
776	4653	1335
777	4670	1332
778	4675	1326
779	4693	1323
780	4697	1317
781	4707	1312
782	4711	1305
783	4716	1299
784	4721	1293
785	4726	1286
786	4732	1280
787	4752	1278
788	4757	1272
789	4762	1265
790	4767	1259
791	4771	1253
792	4777	1246
793	4781	1240
794	4786	1234
795	4796	1229
796	4801	1222
797	4806	1216
798	4812	1210
799	4816	1204
800	4821	1197
801	4826	1191
802	4831	1185
803	4836	1178
804	4840	1172
805	4845	1166
806	4850	1160
807	4855	1153
808	4859	1147
809	4864	1141
810	4869	1134
811	4874	1128
812	4878	1122
813	4887	1116
814	4892	1110
815	4897	1104
816	4918	1101
817	4922	1095
818	4927	1089
819	4932	1082
820	4936	1076
821	4941	1070
822	4961	1067
823	4966	1060
824	4971	1054
825	4976	1048
826	4980	1041
827	4985	1035
828	4990	1029
829	4995	1023
830	4999	1016
831	5005	1010
832	5009	1004
833	5014	998
834	5019	991
835	5025	985
836	5030	979
837	5035	973
838	5040	967
839	5046	961
840	5051	954
841	5055	948
842	5060	942
843	5064	936
844	5074	930
845	5080	924
846	5085	918
847	5090	912
848	5094	906
849	5104	900
850	5109	894
851	5114	888
852	5119	882
853	5123	875
854	5129	869
855	5134	863
856	5138	857
857	5143	851
858	5148	845
859	5153	838
860	5159	832
861	5164	826
862	5168	820
863	5173	814
864	5179	808
865	5183	802
866	5203	798
867	5210	792
868	5215	786
869	5221	780
870	5226	774
871	5231	767
872	5237	761
873	5243	755
874	5248	749
875	5254	743
876	5259	737
877	5264	731
878	5270	725
879	5274	719
880	5279	713
881	5287	707
882	5291	701
883	5297	695
884	5302	689
885	5307	682
886	5312	676
887	5318	670
888	5322	664
889	5328	658
890	5333	652
891	5337	646
892	5342	640
893	5347	634
894	5352	627
895	5357	621
896	5362	615
897	5367	609
898	5371	603
899	5377	597
900	5381	591
901	5385	585
902	5391	579
903	5395	572
904	5399	566
905	5404	560
906	5409	554
907	5413	548
908	5418	542
909	5423	536
910	5428	530
911	5433	524
912	5438	518
913	5442	512
914	5447	506
915	5453	500
916	5458	494
917	5462	487
918	5477	482
919	5483	476
920	5491	471
921	5498	465
922	5507	459
923	5515	453
924	5520	447
925	5525	441
926	5530	435
927	5536	429
928	5542	423
929	5547	417
930	5551	411
931	5556	405
932	5563	399
933	5569	393
934	5576	387
935	5582	381
936	5588	375
937	5595	369
938	5600	363
939	5605	357
940	5610	351
941	5616	345
942	5621	339
943	5626	333
944	5639	328
945	5644	322
946	5649	316
947	5654	310
948	5658	304
949	5662	298
950	5683	292
951	5687	286
952	5692	280
953	5697	274
954	5703	268
955	5707	262
956	5712	256
957	5717	250
958	5722	244
959	5727	238
960	5731	232
961	5736	226
962	5741	220
963	5746	214
964	5751	208
965	5755	202
966	5768	196
967	5773	190
968	5777	184
969	5782	178
970	5786	172
971	5796	166
972	5801	160
973	5806	154
974	5810	148
975	5814	142
976	5819	136
977	5823	131
978	5828	125
979	5832	119
980	5837	113
981	5841	107
982	5846	101
983	5851	95
984	5856	89
985	5861	83
986	5867	77
987	5873	71
988	5877	65
989	5883	59
990	5887	53
991	5892	47
992	5897	41
993	5902	35
994	5907	29
995	5912	23
996	5917	17
997	5922	11
998	5927	5
999	5932	0
